 记录条数  时间  bin号  晶号  电压(V)  反向漏电流(uA)  色坐标(x,y)  相关色温(K)  色差  主波长(nm)  色纯度(%)  峰值波长(nm)  显色性指数  光通量(lm)  辐射通量(mW)  光效 
21 2017_06_07 15:14:41 029 402.8900.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
22 2017_06_07 15:14:41 053 402.8940.31.0100,0.01001001-6.56E-001769.0100.0500.0非数字1.000.000.00
23 2017_06_07 15:14:41 076 402.8930.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
24 2017_06_07 15:14:41 099 402.8930.21.0100,0.01001001-6.56E-001769.0100.0500.0非数字1.000.000.00
25 2017_06_07 15:14:41 123 402.8930.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
26 2017_06_07 15:14:41 146 402.8900.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
27 2017_06_07 15:14:41 171 402.8980.31.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
28 2017_06_07 15:14:41 194 402.8930.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
29 2017_06_07 15:14:41 217 402.8930.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
30 2017_06_07 15:14:41 242 402.8960.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
31 2017_06_07 15:14:41 269 402.8990.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
32 2017_06_07 15:14:41 293 402.8920.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
33 2017_06_07 15:14:41 317 402.8960.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
34 2017_06_07 15:14:41 341 402.9010.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
35 2017_06_07 15:14:41 364 402.8950.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
36 2017_06_07 15:14:41 387 402.8930.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
37 2017_06_07 15:14:41 411 402.9000.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
38 2017_06_07 15:14:41 434 402.8930.31.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
39 2017_06_07 15:14:41 457 402.8970.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
40 2017_06_07 15:14:41 481 402.8970.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
41 2017_06_07 15:14:41 504 402.8960.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
42 2017_06_07 15:14:41 527 402.8940.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
43 2017_06_07 15:14:41 550 402.8990.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
44 2017_06_07 15:14:41 573 402.8970.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
45 2017_06_07 15:14:41 598 402.8940.31.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
46 2017_06_07 15:14:41 624 402.9000.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
47 2017_06_07 15:14:41 649 402.8940.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
48 2017_06_07 15:14:41 675 402.8900.31.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
49 2017_06_07 15:14:41 703 402.9010.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
50 2017_06_07 15:14:41 727 402.8920.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
51 2017_06_07 15:14:41 751 402.9000.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
52 2017_06_07 15:14:41 774 402.8960.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
53 2017_06_07 15:14:41 797 402.8960.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
54 2017_06_07 15:14:41 820 402.8900.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
55 2017_06_07 15:14:41 844 402.8920.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
56 2017_06_07 15:14:41 868 402.8900.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
57 2017_06_07 15:14:41 891 402.8940.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
58 2017_06_07 15:14:41 915 402.8970.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
59 2017_06_07 15:14:41 939 402.8930.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
60 2017_06_07 15:14:41 963 402.8980.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
61 2017_06_07 15:14:41 986 402.8970.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
62 2017_06_07 15:14:42 010 402.8950.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
63 2017_06_07 15:14:42 034 402.8930.31.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
64 2017_06_07 15:14:42 057 402.8950.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
65 2017_06_07 15:14:42 081 402.9000.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
66 2017_06_07 15:14:42 106 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
67 2017_06_07 15:14:42 131 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
68 2017_06_07 15:14:42 155 402.8980.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
69 2017_06_07 15:14:42 178 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
70 2017_06_07 15:14:42 201 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
71 2017_06_07 15:14:42 226 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
72 2017_06_07 15:14:42 253 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
73 2017_06_07 15:14:42 280 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
74 2017_06_07 15:14:42 305 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
75 2017_06_07 15:14:42 331 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
76 2017_06_07 15:14:42 358 402.8970.31.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
77 2017_06_07 15:14:42 384 402.8980.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
78 2017_06_07 15:14:42 410 402.8990.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
79 2017_06_07 15:14:42 436 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
80 2017_06_07 15:14:42 462 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
81 2017_06_07 15:14:42 488 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
82 2017_06_07 15:14:42 514 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
83 2017_06_07 15:14:42 541 402.9000.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
84 2017_06_07 15:14:42 567 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
85 2017_06_07 15:14:42 593 402.8980.31.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
86 2017_06_07 15:14:42 619 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
87 2017_06_07 15:14:42 645 402.9020.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
88 2017_06_07 15:14:42 672 402.8990.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
89 2017_06_07 15:14:42 699 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
90 2017_06_07 15:14:42 724 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
91 2017_06_07 15:14:42 750 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
92 2017_06_07 15:14:42 777 402.8960.31.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
93 2017_06_07 15:14:42 803 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
94 2017_06_07 15:14:42 831 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
95 2017_06_07 15:14:42 858 402.9030.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
96 2017_06_07 15:14:42 884 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
97 2017_06_07 15:14:42 910 402.9030.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
98 2017_06_07 15:14:42 935 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
99 2017_06_07 15:14:42 961 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
100 2017_06_07 15:14:42 987 402.9020.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
101 2017_06_07 15:14:43 014 402.9030.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
102 2017_06_07 15:14:43 038 402.8890.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
103 2017_06_07 15:14:43 062 402.9030.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
104 2017_06_07 15:14:43 086 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
105 2017_06_07 15:14:43 108 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
106 2017_06_07 15:14:43 133 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
107 2017_06_07 15:14:43 156 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
108 2017_06_07 15:14:43 180 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
109 2017_06_07 15:14:43 204 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
110 2017_06_07 15:14:43 228 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
111 2017_06_07 15:14:43 251 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
112 2017_06_07 15:14:43 276 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
113 2017_06_07 15:14:43 298 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
114 2017_06_07 15:14:43 323 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
115 2017_06_07 15:14:43 346 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
116 2017_06_07 15:14:43 370 402.9000.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
117 2017_06_07 15:14:43 394 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
118 2017_06_07 15:14:43 417 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
119 2017_06_07 15:14:43 441 402.8980.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
120 2017_06_07 15:14:43 466 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
121 2017_06_07 15:14:43 489 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
122 2017_06_07 15:14:43 513 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
123 2017_06_07 15:14:43 537 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
124 2017_06_07 15:14:43 561 402.9070.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
125 2017_06_07 15:14:43 584 402.8900.21.0100,0.01001001-6.56E-001769.0100.0582.7非数字1.000.000.00
126 2017_06_07 15:14:43 608 402.8980.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
127 2017_06_07 15:14:43 631 402.8970.21.0100,0.01001001-6.56E-001769.0100.0582.8非数字1.000.000.00
128 2017_06_07 15:14:43 655 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
129 2017_06_07 15:14:43 679 402.9020.31.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
130 2017_06_07 15:14:43 703 402.8890.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
131 2017_06_07 15:14:43 727 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
132 2017_06_07 15:14:43 751 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
133 2017_06_07 15:14:43 775 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
134 2017_06_07 15:14:43 798 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
135 2017_06_07 15:14:43 821 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
136 2017_06_07 15:14:43 845 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
137 2017_06_07 15:14:43 870 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
138 2017_06_07 15:14:43 894 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
139 2017_06_07 15:14:43 918 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
140 2017_06_07 15:14:43 942 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
141 2017_06_07 15:14:43 965 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
142 2017_06_07 15:14:43 988 402.8880.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
143 2017_06_07 15:14:44 013 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
144 2017_06_07 15:14:44 036 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
145 2017_06_07 15:14:44 059 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
146 2017_06_07 15:14:44 083 402.9000.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
147 2017_06_07 15:14:44 106 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
148 2017_06_07 15:14:44 130 402.8990.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
149 2017_06_07 15:14:44 154 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
150 2017_06_07 15:14:44 177 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
151 2017_06_07 15:14:44 200 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
152 2017_06_07 15:14:44 223 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
153 2017_06_07 15:14:44 247 402.8990.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
154 2017_06_07 15:14:44 270 402.8980.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
155 2017_06_07 15:14:44 293 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
156 2017_06_07 15:14:44 316 402.8950.31.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
157 2017_06_07 15:14:44 340 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
158 2017_06_07 15:14:44 364 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
159 2017_06_07 15:14:44 387 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
160 2017_06_07 15:14:44 410 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
161 2017_06_07 15:14:44 433 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
162 2017_06_07 15:14:44 457 402.8950.31.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
163 2017_06_07 15:14:44 479 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
164 2017_06_07 15:14:44 504 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
165 2017_06_07 15:14:44 528 402.8990.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
166 2017_06_07 15:14:44 552 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
167 2017_06_07 15:14:44 576 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
168 2017_06_07 15:14:44 599 402.9010.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
169 2017_06_07 15:14:44 623 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
170 2017_06_07 15:14:44 646 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
171 2017_06_07 15:14:44 669 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
172 2017_06_07 15:14:44 693 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
173 2017_06_07 15:14:44 717 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
174 2017_06_07 15:14:44 741 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
175 2017_06_07 15:14:44 765 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
176 2017_06_07 15:14:44 789 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
177 2017_06_07 15:14:44 813 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
178 2017_06_07 15:14:44 837 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
179 2017_06_07 15:14:44 862 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
180 2017_06_07 15:14:44 885 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
181 2017_06_07 15:14:44 909 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
182 2017_06_07 15:14:44 932 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
183 2017_06_07 15:14:44 955 402.8980.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
184 2017_06_07 15:14:44 978 402.8960.31.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
185 2017_06_07 15:14:45 002 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
186 2017_06_07 15:14:45 026 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
187 2017_06_07 15:14:45 050 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
188 2017_06_07 15:14:45 073 402.8950.31.0100,0.01001001-6.56E-001769.0100.0495.3非数字1.000.000.00
189 2017_06_07 15:14:45 096 402.9020.21.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
190 2017_06_07 15:14:45 119 402.8980.31.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
191 2017_06_07 15:14:45 143 402.8980.21.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
192 2017_06_07 15:14:45 167 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
193 2017_06_07 15:14:45 190 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
194 2017_06_07 15:14:45 212 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
195 2017_06_07 15:14:45 236 402.8970.31.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
196 2017_06_07 15:14:45 259 402.8990.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
197 2017_06_07 15:14:45 282 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
198 2017_06_07 15:14:45 305 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.3非数字1.000.000.00
199 2017_06_07 15:14:45 329 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
200 2017_06_07 15:14:45 353 402.9050.31.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
201 2017_06_07 15:14:45 375 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
202 2017_06_07 15:14:45 399 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
203 2017_06_07 15:14:45 425 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
204 2017_06_07 15:14:45 452 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
205 2017_06_07 15:14:45 481 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
206 2017_06_07 15:14:45 510 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
207 2017_06_07 15:14:45 537 402.9030.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
208 2017_06_07 15:14:45 564 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
209 2017_06_07 15:14:45 589 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
210 2017_06_07 15:14:45 612 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
211 2017_06_07 15:14:45 636 402.8930.31.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
212 2017_06_07 15:14:45 660 402.8990.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
213 2017_06_07 15:14:45 683 402.8930.21.0100,0.01001001-6.56E-001769.0100.0648.1非数字1.000.000.00
214 2017_06_07 15:14:45 707 402.8960.21.0100,0.01001001-6.56E-001769.0100.0648.1非数字1.000.000.00
215 2017_06_07 15:14:45 730 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
216 2017_06_07 15:14:45 753 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
217 2017_06_07 15:14:45 777 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
218 2017_06_07 15:14:45 801 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
219 2017_06_07 15:14:45 825 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
220 2017_06_07 15:14:45 848 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
221 2017_06_07 15:14:45 874 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
222 2017_06_07 15:14:45 897 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
223 2017_06_07 15:14:45 921 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
224 2017_06_07 15:14:45 947 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
225 2017_06_07 15:14:45 973 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
226 2017_06_07 15:14:45 997 402.8970.31.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
227 2017_06_07 15:14:46 022 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
228 2017_06_07 15:14:46 048 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
229 2017_06_07 15:14:46 073 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
230 2017_06_07 15:14:46 097 402.9030.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
231 2017_06_07 15:14:46 123 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.4非数字1.000.000.00
232 2017_06_07 15:14:46 148 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.5非数字1.000.000.00
